Reference, Quantity, Value, Footprint, Datasheet, orig value
A1 A2 ,2,"LM301","","http://www.ti.com/lit/ds/symlink/lm101a-n.pdf","LM301A"
C1 ,1,"12pF","","~"
C2 ,1,"220pF","","~"
C5 ,1,"10pF","","~"
C3 C4 C6 ,3,"50pF","","~"
C7 C8 ,2,"0.01uF","","~"
C9 ,1,"100pF","","~"
CR1 CR2 CR3 CR4 CR5 CR6 ,6,"1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf","1N914"
J10 ,1,"NEG. NULL","","~"
J18 ,1,"POS. NULL","","~"
J2 ,1,"Y INPUT","","~"
J4 ,1,"X INPUT","","~"
J5 ,1,"OUTPUT","","~"
J6 ,1,"POSITIVE SUPPLY","","~"
J7 ,1,"GROUND","","~"
J8 ,1,"NEGATIVE SUPPLY","","~"
J9 ,1,"GAIN TRIM","","~"
Q1 Q2 Q3 Q9 Q10 Q12 ,6,"2N3906","","~","TZ-581"
Q4 Q5 Q6 Q7 Q8 Q11 ,6,"2N3904","","~","TZ-81"
R1 R2 ,2,"4.7k","","~"
R10 ,1,"1M","","~"
R8 R11 R12 ,3,"18k","","~"
R14 ,1,"470R","","~"
R15 ,1,"27k","","~"
R16 ,1,"180k","","~"
R18 ,1,"82k","","~"
R3 R13 ,2,"220R","","~"
R4 R7 ,2,"680R","","~"
R5 R6 ,2,"1.5M","","~"