Reference, Quantity, Value, Footprint, Datasheet, notes
A1 A2 ,2,"LM301A","","http://www.ti.com/lit/ds/symlink/lm101a-n.pdf"
C1 C2 ,2,"0.01uF","","~","ceramic"
C3 ,1,"20nF","","~","ceramic"
C4 C7 ,2,"30pF","","~","ceramic"
C5 C6 ,2,"20pF","","~","ceramic"
C8 ,1,"22nF polycarbonate","","~","polycarbonate"
D1 D2 D3 D4 ,4,"1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
J1 ,1,"INPUT","","~"
J4 ,1,"SAMPLE IN","","~"
J5 ,1,"OUTPUT","","~"
J6 ,1,"POSITIVE SUPPLY","","~"
J7 ,1,"GROUND","","~"
J8 ,1,"NEGATIVE SUPPLY","","~"
Q1 Q3 Q6 ,3,"2N5172","","~"
Q2 Q5 ,2,"2N3906","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3906-D.PDF"
Q4 Q7-1 Q7-2 ,3,"BF245A or 2SK30","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BF245A-D.PDF"
R1 R18 ,2,"61.9k 1%","","~"
R10 ,1,"330R","","~"
R11 ,1,"33k","","~"
R13 ,1,"15k","","~"
R15 ,1,"4.7k","","~"
R16 ,1,"1k","","~"
R2 R17 ,2,"30.1k 1%","","~"
R3 ,1,"22k","","~"
R6 R7 ,2,"56R","","~"
R8 R21 R22 ,3,"100k","","~"
R9 R12 R14 ,3,"10k","","~"